,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600519.SH,20210409,2042.0,2054.0,2005.01,2020.0,2070.0,-50.0,-2.4155,28808.86,5832453.812
1,600759.SH,20210409,1.95,2.14,1.93,2.07,1.96,0.11,5.6122,1280534.88,264356.245
2,600519.SH,20210408,2047.03,2079.0,2044.0,2070.0,2061.0,9.0,0.4367,28547.62,5893307.514
3,600759.SH,20210408,1.98,1.99,1.95,1.96,1.97,-0.01,-0.5076,425398.23,83692.08
4,600519.SH,20210407,2104.06,2117.3,2050.0,2061.0,2126.03,-65.03,-3.0588,40200.97,8317799.925
5,600759.SH,20210407,1.94,1.98,1.93,1.97,1.94,0.03,1.5464,456093.97,89216.339
6,600519.SH,20210406,2161.0,2161.98,2102.3,2126.03,2162.0,-35.97,-1.6637,32741.77,6967525.037
7,600759.SH,20210406,1.9,1.97,1.9,1.94,1.91,0.03,1.5707,381896.8,74005.941
8,600519.SH,20210402,2056.0,2165.0,2056.0,2162.0,2044.5,117.5,5.7471,52027.57,10981752.658
9,600759.SH,20210402,1.93,1.94,1.9,1.91,1.92,-0.01,-0.5208,189587.12,36319.249
10,600519.SH,20210401,2021.0,2046.8,2001.22,2044.5,2009.0,35.5,1.767,26587.63,5379775.87
11,600759.SH,20210401,1.95,1.95,1.9,1.92,1.92,0.0,0.0,260920.0,50140.538
12,600519.SH,20210331,2045.1,2046.02,2000.0,2009.0,2056.05,-47.05,-2.2884,37154.41,7489086.233
13,600759.SH,20210331,1.91,1.94,1.89,1.92,1.93,-0.01,-0.5181,312512.94,59889.267
14,600519.SH,20210330,2040.0,2086.0,2035.08,2056.05,2034.1,21.95,1.0791,32626.97,6717493.35
15,600759.SH,20210330,1.96,1.96,1.92,1.93,1.97,-0.04,-2.0305,339045.29,65541.652
16,600519.SH,20210329,2043.2,2096.35,2026.15,2034.1,2013.0,21.1,1.0482,56992.2,11740129.413
17,600759.SH,20210329,1.94,2.0,1.92,1.97,1.93,0.04,2.0725,524756.54,102637.285
18,600519.SH,20210326,1985.0,2022.0,1958.0,2013.0,1971.0,42.0,2.1309,50016.42,9987629.444
19,600759.SH,20210326,1.87,1.93,1.86,1.93,1.89,0.04,2.1164,360847.52,68713.679
20,600519.SH,20210325,1970.01,1988.88,1946.8,1971.0,1989.0,-18.0,-0.905,31575.23,6216733.244
21,600759.SH,20210325,1.92,1.93,1.89,1.89,1.89,0.0,0.0,337141.09,64394.24
22,600519.SH,20210324,1981.0,2013.0,1981.0,1989.0,1996.0,-7.0,-0.3507,29357.39,5857848.16
23,600759.SH,20210324,1.89,1.92,1.87,1.89,1.92,-0.03,-1.5625,355569.28,67232.822
24,600519.SH,20210323,1998.88,2008.8,1970.0,1996.0,1989.99,6.01,0.302,27446.19,5459520.703
25,600759.SH,20210323,1.98,1.98,1.91,1.92,1.98,-0.06,-3.0303,374336.8,72355.72
26,600519.SH,20210322,2000.1,2026.09,1955.55,1989.99,2010.0,-20.01,-0.9955,36914.07,7323391.311
27,600759.SH,20210322,1.93,1.99,1.92,1.98,1.95,0.03,1.5385,350564.15,68876.66
28,600519.SH,20210319,2035.0,2043.0,1992.23,2010.0,2069.7,-59.7,-2.8845,35780.77,7211521.835
29,600759.SH,20210319,1.91,1.97,1.89,1.95,1.99,-0.04,-2.0101,570106.39,109995.737
30,600519.SH,20210318,2035.0,2086.36,2035.0,2069.7,2030.36,39.34,1.9376,33864.88,6997030.294
31,600759.SH,20210318,2.03,2.03,1.98,1.99,2.03,-0.04,-1.9704,451999.25,90439.646
32,600519.SH,20210317,2000.0,2050.0,1976.01,2030.36,2010.5,19.86,0.9878,31374.91,6352656.523
33,600759.SH,20210317,2.04,2.05,1.99,2.03,2.05,-0.02,-0.9756,499842.2,100764.804
34,600519.SH,20210316,1974.93,2019.99,1965.0,2010.5,1975.45,35.05,1.7743,34648.5,6918600.717
35,600759.SH,20210316,2.04,2.07,2.03,2.05,2.08,-0.03,-1.4423,481313.55,98565.11
36,600519.SH,20210315,2050.0,2069.8,1951.15,1975.45,2026.0,-50.55,-2.4951,62484.87,12459955.712
37,600759.SH,20210315,2.02,2.13,1.98,2.08,2.04,0.04,1.9608,747094.27,154500.863
